text,label,scam_type,timestamp,text_clean,cluster
Can you send the report by tomorrow morning?,legit,none,2025-01-14 21:52:00,can you send the report by tomorrow morning,4
Call me when you are free.,legit,none,2025-02-06 09:06:00,call me when you are free,2
Happy birthday! Hope you have a great day :),legit,none,2025-03-16 06:37:00,happy birthday hope you have a great day,6
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-03-17 19:21:00,urgent send money to this number or ill be in trouble,8
Happy birthday! Hope you have a great day :),legit,none,2025-01-01 03:41:00,happy birthday hope you have a great day,6
"Transfer me $200 now, my account is frozen.",scam,other,2025-01-16 11:20:00,transfer me 200 now my account is frozen,9
Let's push the deployment to Friday.,legit,none,2025-01-07 10:47:00,lets push the deployment to friday,5
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-16 13:47:00,i just sent you a code by mistake can you forward it,4
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-19 23:47:00,you have won a prize click this link to claim your reward,6
Call me when you are free.,legit,none,2025-02-08 04:27:00,call me when you are free,2
"Hey, are we still meeting at 5pm?",legit,none,2025-02-18 22:28:00,hey are we still meeting at 5pm,1
Can you send the report by tomorrow morning?,legit,none,2025-02-15 23:57:00,can you send the report by tomorrow morning,4
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-21 06:34:00,hey its sam lost my phone i changed numbers send me the verification code,9
Let's push the deployment to Friday.,legit,none,2025-03-05 21:08:00,lets push the deployment to friday,5
Can you send the report by tomorrow morning?,legit,none,2025-03-02 16:56:00,can you send the report by tomorrow morning,4
Happy birthday! Hope you have a great day :),legit,none,2025-02-24 06:52:00,happy birthday hope you have a great day,6
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-21 03:40:00,you have won a prize click this link to claim your reward,6
"Hey, are we still meeting at 5pm?",legit,none,2025-01-03 06:38:00,hey are we still meeting at 5pm,1
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-09 23:20:00,you have won a prize click this link to claim your reward,6
"Hey, are we still meeting at 5pm?",legit,none,2025-01-11 04:22:00,hey are we still meeting at 5pm,1
Can you send the report by tomorrow morning?,legit,none,2025-01-01 15:42:00,can you send the report by tomorrow morning,4
"Hey, are we still meeting at 5pm?",legit,none,2025-03-26 07:40:00,hey are we still meeting at 5pm,1
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-22 22:58:00,your parcel is ready for delivery click to confirm,3
Let's push the deployment to Friday.,legit,none,2025-01-11 03:41:00,lets push the deployment to friday,5
Can you send the report by tomorrow morning?,legit,none,2025-02-11 07:10:00,can you send the report by tomorrow morning,4
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-02-20 06:24:00,your parcel is ready for delivery click to confirm,3
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-01-28 19:06:00,bank alert your account needs verification login at,7
Call me when you are free.,legit,none,2025-03-11 16:59:00,call me when you are free,2
Call me when you are free.,legit,none,2025-01-11 12:37:00,call me when you are free,2
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-02-02 20:21:00,your account code NUM — please confirm by sending it here,0
Let's push the deployment to Friday.,legit,none,2025-02-18 00:43:00,lets push the deployment to friday,5
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-03-07 09:15:00,please send me the 6digit code i sent you — i need to log in,8
Happy birthday! Hope you have a great day :),legit,none,2025-02-20 05:09:00,happy birthday hope you have a great day,6
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-24 14:12:00,this is whatsapp support your otp is NUM please share to verify,3
"Hey, are we still meeting at 5pm?",legit,none,2025-03-17 23:12:00,hey are we still meeting at 5pm,1
WhatsApp verification code: 824156. Please share the code so I can confirm.,scam,otp,2025-02-13 08:02:00,whatsapp verification code NUM please share the code so i can confirm,0
WhatsApp verification code: 855053. Please share the code so I can confirm.,scam,otp,2025-02-06 23:51:00,whatsapp verification code NUM please share the code so i can confirm,0
"Hey, are we still meeting at 5pm?",legit,none,2025-01-29 01:24:00,hey are we still meeting at 5pm,1
"Hey, are we still meeting at 5pm?",legit,none,2025-03-22 00:47:00,hey are we still meeting at 5pm,1
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-01-03 08:30:00,you have won a prize click this link to claim your reward,6
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-01-12 11:47:00,hi its john on a new number — can you confirm my code NUM,0
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-13 17:02:00,you have won a prize click this link to claim your reward,6
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-21 08:55:00,this is whatsapp support your otp is NUM please share to verify,3
Let's push the deployment to Friday.,legit,none,2025-01-19 14:12:00,lets push the deployment to friday,5
Let's push the deployment to Friday.,legit,none,2025-01-23 06:58:00,lets push the deployment to friday,5
Let's push the deployment to Friday.,legit,none,2025-02-24 22:51:00,lets push the deployment to friday,5
"Hey, are we still meeting at 5pm?",legit,none,2025-02-23 04:09:00,hey are we still meeting at 5pm,1
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-01-07 19:27:00,hi its john on a new number — can you confirm my code NUM,0
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-28 04:19:00,i just sent you a code by mistake can you forward it,4
Happy birthday! Hope you have a great day :),legit,none,2025-01-08 04:08:00,happy birthday hope you have a great day,6
"Hey, are we still meeting at 5pm?",legit,none,2025-03-06 10:18:00,hey are we still meeting at 5pm,1
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-03-22 01:36:00,your account code NUM — please confirm by sending it here,0
Can you send the report by tomorrow morning?,legit,none,2025-01-25 06:50:00,can you send the report by tomorrow morning,4
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-13 03:16:00,hey its sam lost my phone i changed numbers send me the verification code,9
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-20 02:20:00,this is whatsapp support your otp is NUM please share to verify,3
Can you send the report by tomorrow morning?,legit,none,2025-02-06 06:27:00,can you send the report by tomorrow morning,4
Can you send the report by tomorrow morning?,legit,none,2025-03-30 20:33:00,can you send the report by tomorrow morning,4
Happy birthday! Hope you have a great day :),legit,none,2025-02-19 20:59:00,happy birthday hope you have a great day,6
"Hey, are we still meeting at 5pm?",legit,none,2025-01-20 21:37:00,hey are we still meeting at 5pm,1
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-02-28 22:56:00,your parcel is ready for delivery click to confirm,3
"Hey, are we still meeting at 5pm?",legit,none,2025-02-04 19:40:00,hey are we still meeting at 5pm,1
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-29 10:52:00,i just sent you a code by mistake can you forward it,4
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-20 07:39:00,i just sent you a code by mistake can you forward it,4
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-03-25 16:56:00,please send me the 6digit code i sent you — i need to log in,8
"Hey, are we still meeting at 5pm?",legit,none,2025-02-22 17:14:00,hey are we still meeting at 5pm,1
WhatsApp verification code: 284430. Please share the code so I can confirm.,scam,otp,2025-03-15 04:36:00,whatsapp verification code NUM please share the code so i can confirm,0
"Hey, are we still meeting at 5pm?",legit,none,2025-01-03 17:05:00,hey are we still meeting at 5pm,1
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-01-30 05:21:00,you have won a prize click this link to claim your reward,6
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-24 20:53:00,this is your colleague mark im on a temporary phone — whats the code,3
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-03 10:54:00,please send me the 6digit code i sent you — i need to log in,8
"Hey, are we still meeting at 5pm?",legit,none,2025-01-08 19:06:00,hey are we still meeting at 5pm,1
"Transfer me $200 now, my account is frozen.",scam,other,2025-01-08 04:30:00,transfer me 200 now my account is frozen,9
Can you send the report by tomorrow morning?,legit,none,2025-01-07 05:41:00,can you send the report by tomorrow morning,4
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-03-19 12:42:00,hi its john on a new number — can you confirm my code NUM,0
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-25 23:14:00,please send me the 6digit code i sent you — i need to log in,8
"Hey, are we still meeting at 5pm?",legit,none,2025-02-26 09:03:00,hey are we still meeting at 5pm,1
Let's push the deployment to Friday.,legit,none,2025-01-13 17:01:00,lets push the deployment to friday,5
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-02-27 18:42:00,bank alert your account needs verification login at,7
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-26 02:18:00,we detected unusual activity verify here,0
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-08 18:04:00,please send me the 6digit code i sent you — i need to log in,8
Let's push the deployment to Friday.,legit,none,2025-03-23 19:51:00,lets push the deployment to friday,5
Can you send the report by tomorrow morning?,legit,none,2025-03-09 19:27:00,can you send the report by tomorrow morning,4
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-01-19 03:11:00,urgent send money to this number or ill be in trouble,8
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-28 21:49:00,this is whatsapp support your otp is NUM please share to verify,3
"Hey, are we still meeting at 5pm?",legit,none,2025-03-20 09:06:00,hey are we still meeting at 5pm,1
Call me when you are free.,legit,none,2025-03-22 14:17:00,call me when you are free,2
Happy birthday! Hope you have a great day :),legit,none,2025-02-06 00:16:00,happy birthday hope you have a great day,6
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-11 14:38:00,your parcel is ready for delivery click to confirm,3
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-09 21:04:00,you have won a prize click this link to claim your reward,6
Let's push the deployment to Friday.,legit,none,2025-01-06 04:52:00,lets push the deployment to friday,5
"Investment opportunity, send your account details.",scam,other,2025-03-20 17:46:00,investment opportunity send your account details,7
WhatsApp verification code: 971084. Please share the code so I can confirm.,scam,otp,2025-03-27 01:42:00,whatsapp verification code NUM please share the code so i can confirm,0
WhatsApp verification code: 421080. Please share the code so I can confirm.,scam,otp,2025-03-02 10:26:00,whatsapp verification code NUM please share the code so i can confirm,0
Let's push the deployment to Friday.,legit,none,2025-01-17 06:05:00,lets push the deployment to friday,5
Call me when you are free.,legit,none,2025-02-08 09:42:00,call me when you are free,2
"Investment opportunity, send your account details.",scam,other,2025-01-28 05:30:00,investment opportunity send your account details,7
"Hey, are we still meeting at 5pm?",legit,none,2025-03-29 10:51:00,hey are we still meeting at 5pm,1
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-05 16:35:00,you have won a prize click this link to claim your reward,6
Happy birthday! Hope you have a great day :),legit,none,2025-03-28 04:25:00,happy birthday hope you have a great day,6
