text,label,scam_type,timestamp
Can you send the report by tomorrow morning?,legit,none,2025-01-14 21:52:00
Call me when you are free.,legit,none,2025-02-06 09:06:00
Happy birthday! Hope you have a great day :),legit,none,2025-03-16 06:37:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-03-17 19:21:00
Happy birthday! Hope you have a great day :),legit,none,2025-01-01 03:41:00
"Transfer me $200 now, my account is frozen.",scam,other,2025-01-16 11:20:00
Let's push the deployment to Friday.,legit,none,2025-01-07 10:47:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-16 13:47:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-19 23:47:00
Call me when you are free.,legit,none,2025-02-08 04:27:00
"Hey, are we still meeting at 5pm?",legit,none,2025-02-18 22:28:00
Can you send the report by tomorrow morning?,legit,none,2025-02-15 23:57:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-21 06:34:00
Let's push the deployment to Friday.,legit,none,2025-03-05 21:08:00
Can you send the report by tomorrow morning?,legit,none,2025-03-02 16:56:00
Happy birthday! Hope you have a great day :),legit,none,2025-02-24 06:52:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-21 03:40:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-03 06:38:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-09 23:20:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-11 04:22:00
Can you send the report by tomorrow morning?,legit,none,2025-01-01 15:42:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-26 07:40:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-22 22:58:00
Let's push the deployment to Friday.,legit,none,2025-01-11 03:41:00
Can you send the report by tomorrow morning?,legit,none,2025-02-11 07:10:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-02-20 06:24:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-01-28 19:06:00
Call me when you are free.,legit,none,2025-03-11 16:59:00
Call me when you are free.,legit,none,2025-01-11 12:37:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-02-02 20:21:00
Let's push the deployment to Friday.,legit,none,2025-02-18 00:43:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-03-07 09:15:00
Happy birthday! Hope you have a great day :),legit,none,2025-02-20 05:09:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-24 14:12:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-17 23:12:00
WhatsApp verification code: 824156. Please share the code so I can confirm.,scam,otp,2025-02-13 08:02:00
WhatsApp verification code: 855053. Please share the code so I can confirm.,scam,otp,2025-02-06 23:51:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-29 01:24:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-22 00:47:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-01-03 08:30:00
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-01-12 11:47:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-13 17:02:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-21 08:55:00
Let's push the deployment to Friday.,legit,none,2025-01-19 14:12:00
Let's push the deployment to Friday.,legit,none,2025-01-23 06:58:00
Let's push the deployment to Friday.,legit,none,2025-02-24 22:51:00
"Hey, are we still meeting at 5pm?",legit,none,2025-02-23 04:09:00
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-01-07 19:27:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-28 04:19:00
Happy birthday! Hope you have a great day :),legit,none,2025-01-08 04:08:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-06 10:18:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-03-22 01:36:00
